step,line,chars,budget_hit_chars_ge3500,answer_anywhere,answer_last500,garbled,saved_reward,recomputed_reward
8,27,3777,1,0,0,0,0.0,0.0
8,28,3731,1,1,1,0,1.0,1.0
8,29,3349,0,0,0,0,0.0,0.0
8,30,3434,0,1,1,0,1.0,1.0
8,31,3332,0,1,0,0,0.0,0.0
8,32,2953,0,1,1,0,1.0,1.0
8,33,3507,1,1,1,0,0.0,0.0
8,34,3411,0,1,1,0,0.0,0.0
8,35,3299,0,0,0,0,0.0,0.0
8,36,3531,1,0,0,0,0.0,0.0
8,37,1764,0,1,1,0,1.0,1.0
8,38,1937,0,1,1,0,1.0,1.0
8,39,2035,0,1,1,0,1.0,1.0
8,40,2294,0,1,1,0,1.0,1.0
8,41,3683,1,0,0,0,0.0,0.0
8,42,3481,0,0,0,0,0.0,0.0
8,43,3412,0,1,1,0,1.0,1.0
8,44,3350,0,0,0,0,0.0,0.0
8,45,3448,0,0,0,0,0.0,0.0
8,46,3506,1,0,0,0,0.0,0.0
8,47,3909,1,0,0,0,0.0,0.0
8,48,3439,0,0,0,0,0.0,0.0
8,49,2951,0,1,0,0,0.0,0.0
8,50,2999,0,1,1,0,1.0,1.0
8,51,3082,0,1,0,0,0.0,0.0
8,52,2949,0,1,1,0,1.0,1.0
8,53,2722,0,1,1,0,1.0,1.0
8,54,2422,0,1,1,0,1.0,1.0
8,55,2258,0,1,1,0,1.0,1.0
8,56,3278,0,0,0,0,0.0,0.0
8,57,3311,0,0,0,0,0.0,0.0
8,58,3290,0,0,0,0,0.0,0.0
8,59,3336,0,0,0,0,0.0,0.0
8,60,3280,0,0,0,0,0.0,0.0
8,61,3219,0,1,0,0,0.0,0.0
8,62,3280,0,1,0,0,0.0,0.0
8,63,3477,0,0,0,0,0.0,0.0
8,64,3383,0,1,1,0,1.0,1.0
9,1,3394,0,1,0,0,0.0,0.0
9,2,2996,0,1,1,0,1.0,1.0
9,3,3383,0,0,0,0,0.0,0.0
9,4,3051,0,1,1,0,1.0,1.0
9,5,3864,1,1,1,0,1.0,1.0
9,6,3987,1,0,0,0,0.0,0.0
9,7,3775,1,1,0,0,0.0,0.0
9,8,3816,1,0,0,0,0.0,0.0
9,9,2998,0,1,0,0,0.0,0.0
9,10,2825,0,1,0,0,0.0,0.0
9,11,2974,0,1,1,0,1.0,1.0
9,12,2846,0,0,0,0,0.0,0.0
9,13,2855,0,0,0,0,0.0,0.0
9,14,2944,0,0,0,0,0.0,0.0
9,15,3058,0,0,0,0,0.0,0.0
9,16,3115,0,0,0,0,0.0,0.0
9,17,4094,1,0,0,0,0.0,0.0
9,18,4265,1,0,0,0,0.0,0.0
9,19,3546,1,0,0,0,0.0,0.0
9,20,4113,1,0,0,0,0.0,0.0
9,21,3611,1,0,0,0,0.0,0.0
9,22,3552,1,0,0,0,0.0,0.0
9,23,3583,1,0,0,0,0.0,0.0
9,24,3305,0,0,0,0,0.0,0.0
9,25,3768,1,1,0,0,0.0,0.0
